$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,,
DLX,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,500,,
ELWS,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,80.2,,
PHI0,0,0.03,0.37,0.64,1.12,1.37,1.22,1.2,1.26,1.32,1.47,1.73,1.91,2.05,2.08,2.05,1.83,1.39,0.68,6.07,5.51,6.23,0.23,0.43,0.48,0.57,0.43,0.33,0.45,0.34,0.22,0.22,0.44,0.64,0.99,1.2,1.59,1.81,1.86,1.95,1.93,1.61,1.36,1.23,1.05,0.6,0.76,0.9,1,0.99,0.98,0.98,0.97,0.96,1.07,1.15,1.33,1.55,1.71,1.93,1.85,1.77,1.63,1.91,2.12,2.17,2.07,1.77,1.46,1.29,1.04,1.21,1.27,1.21,1.37,1.37,1.35,1.25,1.32,1.48,1.49,1.76,1.8,1.95,2.15,2.19,2.19,2.07,1.96,1.92,1.8,2.13,2.26,2.85,2.91,2.76,2.52,2.02,1.83,1.73,2.04,2.32,2.49,2.69,2.78,2.66,2.37,2.18,2.22,2.24,2.03,1.73,1.49,1.38,1.29,1.43,1.75,1.97,2.04,2.31,2.31,2.26,2.19,2.47,2.36,1.88,1.65,1.59,1.39,1.49,1.89,2.25,2.09,1.79,1.7,1.67,1.76,1.98,2.04,2.14,1.97,2.28,2.51,2.26,2.26,2.26,2.74,2.87,2.33,1.45,2.64,2.66,1.96,1.66,1.75,1.83,1.59,0.99,0.63,0.18,0.21,0.46,0.08,0.37,1.42,1.6,1.55,1.28,1.43,1.53,1.74,2.02,2.39,2.45,2.19,2.06,0,0,1.5,2.22,2.36,2.3,2.52,2.69,2.5,2.24,2.33,2.28,2.2,2.44,3.01,3.14,3.15,3.28,0,0,2.98,2.84,2.69,2.76,2.9,2.85,2.86,2.88,2.36,2.09,1.71,1.66,1.59,1.59,2.55,2.49,0,0,1.8,1.92,1.1,1.5,1.38,2.1,1.33,0.92,0.85,6.16,6.01,5.83,5.85,6.05,5.95,5.88,5.59,5.7,5.9,6.1,0.04,0.69,0.74,0.95,0,0,0.95,0.95,0.94,0.94,0.99,1.15,1.22,1.56,1.55,1.37,1.01,0.81,0.46,0,0,0.03,0.03,0.03,0.18,0.46,0.46,0.46,0.46,0.46,0.4,0.38,0.4,0.49,0.49,0,,
FRIC,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,
LAYERH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K,ELEV?
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,86
1,0,271.212,585.021,1542.655,713.747,1103.704,2178.13,1699.664,1735.909,1347.395,1566.154,1301.224,1137.49,1185.565,1443.712,1696.336,1629.716,3528.993,296.529,323.263,602.521,701.609,724.708,785.194,566.013,817.438,928.55,942.227,882.515,1293.23,924.8,1171.868,2093.529,1582.673,1274.296,1443.067,1218.717,1081.494,1037.799,1817.773,2255.186,1463.29,1298.091,1430.48,2519.426,903.822,1745.166,1579.897,1755.941,1761.535,1668.263,1847.671,2225.1,2700,2884.447,2649.056,1814.792,2836.431,2921.731,2206.239,2401.547,3072.674,1891.85,1895.805,2859.854,2473.196,2735.123,2263.537,1540.198,1750.765,6816.921,4458.016,3227.149,3258.319,2237.117,2115.212,2336.315,2409.389,2076.251,2493.634,2396.207,2624.106,2889.148,2984.796,3034.703,2866.999,2985.123,2523.521,2344.537,2698.343,2698.32,3778.913,6347.971,3719.552,2154.875,3166.14,2298.948,1708.541,2242.931,1907.068,2997.234,2405.684,1462.148,1369.388,2070.077,3245.131,2537.664,981.814,1677.953,1675.168,1708.32,985.474,1292.621,1012.386,978.43,868.328,1190.353,1121.236,1370.519,993.046,859.942,978.092,867.863,745.313,1263.382,1131.269,1306.688,1099.416,730.801,918.537,2808.96,1703.931,1825.162,3018.58,2301.965,3764.122,2529.298,1691.922,1828.56,1081.099,679.878,1794.625,1114.794,1342.891,0,0,2341.778,2523.409,1052.611,1423.835,2405.576,2816.877,4008.326,3672.629,3405.129,2624.862,1789.307,1602.69,2909.428,3110.864,3014.454,3996.82,2836.057,3592.626,5229.192,3794.465,2740.858,4435.908,4055.001,3797.639,2953.358,2477.52,2593.869,3813.399,3735.371,3533.446,0,0,258.208,242.525,448.846,553.015,408.001,543.981,434.2,756.445,601.833,803.715,770.711,805.909,480.836,278.678,508.724,574.327,0,0,121.052,274.318,405.259,413.459,676.548,854.208,941.359,868.937,3403.781,994.676,1021.972,1346.838,1358.687,2064.971,1039.892,1164.332,0,0,43.628,123.167,397.816,396.36,610.898,1030.443,1108.927,441.574,404.556,910.1,329.281,369.446,376.768,318.305,1006.8,641.585,672.065,983.934,1024.377,841.75,954.129,2907.025,1146.908,1909.436,0,0,59.389,271.07,582.12,614.113,700.415,1130.431,704.372,677.525,684.033,899.468,843.333,677.876,603.842,0,0,20,38.314,47.409,58.545,279.494,247.333,296.819,583.834,1035.586,2174.079,824.641,1008.465,645.121,535.368,0,2,85
1,0,205.398,350.484,707.02,364.526,456.034,978.88,775.449,1034.479,957.17,1403.394,1153.214,1009.43,995.285,977.792,778.953,1091.641,2622.868,259.562,286.636,444.516,467.002,392.537,500.034,326.976,553,705.054,785.067,594.31,626.583,505.479,713.383,1812.032,1479.364,1169.73,1343.284,1067.027,962.912,931.029,1488.012,1746.508,1232.704,1125.183,1168.534,2230.031,795.745,1309.63,1254.848,1491.245,1495.594,1388.208,1490.514,1780.431,2172.476,2233.223,2181.11,1592.756,2531.686,2344.614,1553.434,1739.95,1905.449,1371.067,1020.112,1937.784,1752.206,2296.202,2036.6,1472.767,1694.861,6261.65,3708.329,3034.951,3107.684,2149.425,2047.849,2216.415,2229.302,1968.484,2266.165,2176.257,2521.648,2790.345,2774.26,2921.792,2681.239,2232.187,2397.042,2237.548,2545.755,2594.872,3677.585,6030.654,3664.453,2083.641,3049.159,2128.48,1479.956,1990.146,1674.723,2531.053,2232.586,1350.764,1267.731,1855.08,2707.922,1982.4,780.797,1560.871,1552.403,1531.506,947.872,1234.3,954.642,890.903,820.999,1115.036,1062.093,1323.92,917.298,793.45,877.924,817.304,692.456,1198.987,1088,1224.621,1049.388,583.534,797.896,2616.548,1650.221,1705.324,2737.258,1553.04,3190.559,1999.864,1325.157,1663.28,909.987,584.023,1473.182,1005.32,1250.949,0,0,2082.259,2360.583,971.206,1423.791,2346.97,2716.331,3991.952,3622.786,3368.799,2553.239,1678.119,1485.988,2805.104,3080.501,2998.618,3976.333,2770.629,3254.267,5015.781,3768.302,2679.762,4304.479,3898.86,3715.219,2911.672,2454.929,2557.436,3541.972,3203.838,3502.152,0,0,36.398,209.809,329.348,416.906,352.742,435.862,366.985,638.367,511.73,699.895,685.946,727.857,440.885,255.283,450.283,537.955,0,0,20,105.891,314.638,361.001,455.13,663.125,823.77,761.711,2825.928,816.574,883.83,1240.019,968.892,1603.118,987.112,1080.709,0,0,20,62.21,134.396,227.259,427.018,712.024,750.283,336.106,326.061,776.511,270.432,295.398,302.65,248.225,855.667,498.818,576.739,751.174,912.553,734.954,899.464,2656.323,1089.864,1705.683,0,0,20,154.62,434.696,496.228,546.515,901.211,571.94,551.891,533.508,724.592,729.617,595.544,536.766,0,0,20,20,26.578,32.651,138.065,154.911,167.688,366.264,736.226,1689.516,625.658,770.215,487.401,400.796,0,3,84
1,0,193.833,330.073,597.267,248.109,283.726,379.639,284.385,239.98,267.741,398.099,364.772,441.251,400.751,570.438,337.7,658.277,1817.007,248.831,276.993,401.284,341.188,316.949,448.689,283.16,408.643,556.211,670.06,470.455,455.613,305.363,334.849,369.726,501.327,543.598,721.939,651.812,677.289,646.835,976.923,1308.29,975.174,962.555,990.221,1859.946,659.1,991.56,940.597,1152.69,1252.939,1169.254,1176.339,1360.62,1336.406,1478.533,1512.658,1084.689,2098.187,1958.614,1190.607,1073.631,1347.764,1121.575,777.723,1447.698,1359.03,1992.188,1883.329,1427.93,1558.504,5606.254,3070.219,2670.314,2917.27,2072.694,1930.767,2066.189,2097.818,1888.395,1906.254,2113.354,2381.906,2624.263,2548.457,2727.783,2135.059,1745.283,2040.47,1960.292,2359.167,2506.744,3577.333,5766.368,3598.612,1989.563,2870.642,1976.283,1399.317,1855.805,1474.098,2382.821,2128.51,1248.438,1181.698,1598.583,2212.509,1661.77,675.417,1388.694,1325.435,1416.062,917.964,1191.093,910.07,819.798,776.092,1046.798,1012.802,1283.752,854.417,751.673,801.487,774.558,652.705,1150.674,1057.043,1156.866,1009.869,517.159,749.51,2392.952,1599.127,1584.047,2512.836,1322.907,2585.779,1494.174,934.009,1478.915,765.598,506.648,1208.373,921.505,1147.128,0,0,1906.215,2227.638,888.709,1409.065,2295.739,2625.835,3983.091,3556.857,3334.996,2497.607,1571.232,1386.567,2698.921,3048.903,2983.217,3959.195,2710.427,3054.124,4829.402,3732.096,2622.725,4175.55,3751.247,3623.658,2875.472,2425.949,2510.76,3454.242,2970,3425.679,0,0,20,63.078,235.333,282.856,311.521,362.557,301.952,526.159,439.621,621.969,615.428,651.84,404.892,234.421,396.116,502.654,0,0,20,20,162.156,307.722,307.943,499.829,696.266,664.459,1883.89,611.95,771.61,1169.162,872.074,1290.187,938.552,1017.988,0,0,20,33.102,62.107,107.436,267.03,488.941,492.217,293.631,249.475,652.215,224.442,224.185,233.911,184.316,704.894,380.183,487.744,560.722,806.507,629.406,848.174,2421.924,1031.041,1550.213,0,0,20,79.413,307.848,390.897,401.375,702.448,462.075,442.455,405.124,607.081,632.536,512.907,475.954,0,0,20,20,20,20.474,69.389,83.913,97.729,190.848,490.043,1251.23,460.3,576.337,359.483,299.167,0,4,83
